Project/Programme Name,Summary,B5,
SRO Sign-Off,Summary,B49,
Reporting period (GMPP - Snapshot Date),Summary,G3,
Quarter Joined,Summary,I3,
GMPP (GMPP - formally joined GMPP),Summary,G5,
IUK top 40,Summary,G6,
Top 37,Summary,I5,
DfT Business Plan,Summary,I6,
DFT ID Number,Summary,B6,
MPA ID Number,Summary,C6,
Working Contact Name,Summary,H8,
Working Contact Telephone,Summary,H9,
Working Contact Email,Summary,H10,
DfT Group,Summary,B8,DfT Group,
DfT Division,Summary,B9,DfT Division,
Agency or delivery partner (GMPP - Delivery Organisation primary),Summary,B10,Agency,
GMPP- Reporting Department,
Strategic Alignment/Government Policy (GMPP - Key drivers),Summary,B26,
Project Scope,Summary,G26,
Brief project description (GMPP - brief descripton),Summary,G27,
Delivery Structure,Summary,G32,Entity format,
Description if 'Other',Summary,G33,
Change Delivery Methodology,Summary,G39,Methodology,
Primary Category,Summary,H41,Category,
If other please describe,Summary,J41,
Secondary Category,Summary,H42,Category,
If other please describe,Summary,J42,
Tertiary Category,Summary,H43,Category,
If other please describe,Summary,J43,
Has Project Scope Changed?,Summary,G35,Scope Changed,
Scope Change Commentary (if applicable),Summary,H35,
List Strategic Outcomes (GMPP - Intended Outcome 1),Summary,B33,
IO1 - Monetised?,Summary,D33,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 2),Summary,B34,
IO2 - Monetised?,Summary,D34,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 3),Summary,B35,
IO3 - Monetised?,Summary,D35,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 4),Summary,B36,
IO4 - Monetised?,Summary,D36,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 5),Summary,B37,
IO5 - Monetised?,Summary,D37,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 6),Summary,B38,
IO6 - Monetised?,Summary,D38,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 7),Summary,B39,
IO7 - Monetised?,Summary,D39,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 8),Summary,B40,
IO8 - Monetised?,Summary,D40,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 9),Summary,B41,
IO9 - Monetised?,Summary,D41,Monetised / Non Monetised Benefits,
List Strategic Outcomes (GMPP - Intended Outcome 10),Summary,B42,
IO10 - Monetised?,Summary,D42,Monetised / Non Monetised Benefits,
Single Departmental Plan 1,Summary,B28,SDP,
Single Departmental Plan 2,Summary,B29,SDP,
Single Departmental Plan 3,Summary,B30,SDP,
Single Departmental Plan 4,Summary,B31,SDP,
Risk Level (RPA),Summary,H29,RPA level,
Risk Level (RPA) Date,Summary,H30,
Departmental DCA,Summary,B46,RAG,
Departmental DCA Narrative,Summary,C47,
SRO Full Name,Summary,C12,
SRO Email,Summary,C14,
SRO Phone No.,Summary,C13,
Percentage of time spent on SRO Role,Summary,C18,Percentage of time spent on SRO role,
SRO Tenure Start Date,Summary,C15,
SRO Tenure End Date,Summary,C17,
SRO MPLA Status,Summary,C21,MPLA / PLP,
SRO MPLA - If 'other' please describe,Summary,C22,
SRO PLP Status,Summary,C23,MPLA / PLP,
SRO PLP - If 'other' please describe,Summary,C24,
Date If Current SRO Letter Issued,Summary,C16,
Has the SRO changed?,Summary,C19,Yes/No,
If new SRO reason for change,Summary,C20,PL Changes,
PD Full Name,Summary,H12,
PD Email,Summary,H14,
PD Phone No.,Summary,H13,
Secondary PDs please name?,Summary,J12,
PD MPLA Status,Summary,H21,MPLA / PLP,
PD MPLA - If 'other' please describe,Summary,H22,
PD PLP Status,Summary,H23,MPLA / PLP,
PD PLP - If 'other' please describe,Summary,H24,
Has PD changed?,Summary,H19,Yes/No,
If new PD reason for change,Summary,H20,PL Changes,
Percentage of time spent on PD Role,Summary,H18,Percentage of time spent on SRO role,
PD Tenure Start Date,Summary,H15,
PD Tenure End Date,Summary,H17,
Date if PD letter issued,Summary,H16,
Project stage,Approval & Project milestones,B5,Project stage,
Project stage if Other,Approval & Project milestones,D5,
Last time at BICC,Approval & Project milestones,B4,
Next at BICC,Approval & Project milestones,D4,
Approval MM1,Approval & Project milestones,A9,
Approval MM1 Original Baseline,Approval & Project milestones,B9,
Approval MM1 Latest Approved Baseline,Approval & Project milestones,C9,
Approval MM1 Forecast / Actual,Approval & Project milestones,D9,
Approval MM1 Milestone Type,Approval & Project milestones,E9,Milestone Types,
Approval MM1 Notes,Approval & Project milestones,F9,
Approval MM2,Approval & Project milestones,A10,
Approval MM2 Original Baseline,Approval & Project milestones,B10,
Approval MM2 Latest Approved Baseline,Approval & Project milestones,C10,
Approval MM2 Forecast / Actual,Approval & Project milestones,D10,
Approval MM2 Milestone Type,Approval & Project milestones,E10,
Approval MM2 Notes,Approval & Project milestones,F10,
Approval MM3,Approval & Project milestones,A11,
Approval MM3 Original Baseline,Approval & Project milestones,B11,
Approval MM3 Latest Approved Baseline,Approval & Project milestones,C11,
Approval MM3 Forecast / Actual,Approval & Project milestones,D11,
Approval MM3 Milestone Type,Approval & Project milestones,E11,Milestone Types,
Approval MM3 Notes,Approval & Project milestones,F11,
Approval MM4,Approval & Project milestones,A12,
Approval MM4 Original Baseline,Approval & Project milestones,B12,
Approval MM4 Latest Approved Baseline,Approval & Project milestones,C12,
Approval MM4 Forecast / Actual,Approval & Project milestones,D12,
Approval MM4 Milestone Type,Approval & Project milestones,E12,
Approval MM4 Notes,Approval & Project milestones,F12,
Approval MM5,Approval & Project milestones,A13,
Approval MM5 Original Baseline,Approval & Project milestones,B13,
Approval MM5 Latest Approved Baseline,Approval & Project milestones,C13,
Approval MM5 Forecast / Actual,Approval & Project milestones,D13,
Approval MM5 Milestone Type,Approval & Project milestones,E13,Milestone Types,
Approval MM5 Notes,Approval & Project milestones,F13,
Approval MM6,Approval & Project milestones,A14,
Approval MM6 Original Baseline,Approval & Project milestones,B14,
Approval MM6 Latest Approved Baseline,Approval & Project milestones,C14,
Approval MM6 Forecast / Actual,Approval & Project milestones,D14,
Approval MM6 Milestone Type,Approval & Project milestones,E14,Milestone Types,
Approval MM6 Notes,Approval & Project milestones,F14,
Approval MM7,Approval & Project milestones,A15,
Approval MM7 Original Baseline,Approval & Project milestones,B15,
Approval MM7 Latest Approved Baseline,Approval & Project milestones,C15,
Approval MM7 Forecast / Actual,Approval & Project milestones,D15,
Approval MM7 Milestone Type,Approval & Project milestones,E15,Milestone Types,
Approval MM7 Notes,Approval & Project milestones,F15,
Approval MM8,Approval & Project milestones,A16,
Approval MM8 Original Baseline,Approval & Project milestones,B16,
Approval MM8 Latest Approved Baseline,Approval & Project milestones,C16,
Approval MM8 Forecast / Actual,Approval & Project milestones,D16,
Approval MM8 Milestone Type,Approval & Project milestones,E16,Milestone Types,
Approval MM8 Notes,Approval & Project milestones,F16,
Approval MM9,Approval & Project milestones,A17,
Approval MM9 Original Baseline,Approval & Project milestones,B17,
Approval MM9 Latest Approved Baseline,Approval & Project milestones,C17,
Approval MM9 Forecast / Actual,Approval & Project milestones,D17,
Approval MM9 Milestone Type,Approval & Project milestones,E17,Milestone Types,
Approval MM9 Notes,Approval & Project milestones,F17,
Approval MM10,Approval & Project milestones,A18,
Approval MM10 Original Baseline,Approval & Project milestones,B18,
Approval MM10 Latest Approved Baseline,Approval & Project milestones,C18,
Approval MM10 Forecast / Actual,Approval & Project milestones,D18,
Approval MM10 Milestone Type,Approval & Project milestones,E18,Milestone Types,
Approval MM10 Notes,Approval & Project milestones,F18,
Approval MM11,Approval & Project milestones,A19,
Approval MM11 Original Baseline,Approval & Project milestones,B19,
Approval MM11 Latest Approved Baseline,Approval & Project milestones,C19,
Approval MM11 Forecast / Actual,Approval & Project milestones,D19,
Approval MM11 Milestone Type,Approval & Project milestones,E19,
Approval MM11 Notes,Approval & Project milestones,F19,
Approval MM12,Approval & Project milestones,A20,
Approval MM12 Original Baseline,Approval & Project milestones,B20,
Approval MM12 Latest Approved Baseline,Approval & Project milestones,C20,
Approval MM12 Forecast / Actual,Approval & Project milestones,D20,
Approval MM12 Milestone Type,Approval & Project milestones,E20,Milestone Types,
Approval MM12 Notes,Approval & Project milestones,F20,
Approval MM13,Approval & Project milestones,A21,
Approval MM13 Original Baseline,Approval & Project milestones,B21,
Approval MM13 Latest Approved Baseline,Approval & Project milestones,C21,
Approval MM13 Forecast - Actual,Approval & Project milestones,D21,
Approval MM13 Type,Approval & Project milestones,E21,Milestone Types,
Approval MM13 Notes,Approval & Project milestones,F21,
Approval MM14,Approval & Project milestones,A22,
Approval MM14 Original Baseline,Approval & Project milestones,B22,
Approval MM14 Latest Approved Baseline,Approval & Project milestones,C22,
Approval MM14 Forecast - Actual,Approval & Project milestones,D22,
Approval MM14 Type,Approval & Project milestones,E22,Milestone Types,
Approval MM14 Notes,Approval & Project milestones,F22,
Approval MM15,Approval & Project milestones,A23,
Approval MM15 Original Baseline,Approval & Project milestones,B23,
Approval MM15 Latest Approved Baseline,Approval & Project milestones,C23,
Approval MM15 Forecast - Actual,Approval & Project milestones,D23,
Approval MM15 Type,Approval & Project milestones,E23,Milestone Types,
Approval MM15 Notes,Approval & Project milestones,F23,
Approval MM16,Approval & Project milestones,A24,
Approval MM16 Original Baseline,Approval & Project milestones,B24,
Approval MM16 Latest Approved Baseline,Approval & Project milestones,C24,
Approval MM16 Forecast - Actual,Approval & Project milestones,D24,
Approval MM16 Type,Approval & Project milestones,E24,Milestone Types,
Approval MM16 Notes,Approval & Project milestones,F24,
Project MM18,Approval & Project milestones,A26,
Project MM18 Original Baseline,Approval & Project milestones,B26,
Project MM18 Latest Approved Baseline,Approval & Project milestones,C26,
Project MM18 Forecast - Actual,Approval & Project milestones,D26,
Project MM18 Type,Approval & Project milestones,E26,
Project MM18 Notes,Approval & Project milestones,F26,
Project MM19,Approval & Project milestones,A27,
Project MM19 Original Baseline,Approval & Project milestones,B27,
Project MM19 Latest Approved Baseline,Approval & Project milestones,C27,
Project MM19 Forecast - Actual,Approval & Project milestones,D27,
Project MM19 Type,Approval & Project milestones,E27,Milestone Types,
Project MM19 Notes,Approval & Project milestones,F27,
Project MM20,Approval & Project milestones,A28,
Project MM20 Original Baseline,Approval & Project milestones,B28,
Project MM20 Latest Approved Baseline,Approval & Project milestones,C28,
Project MM20 Forecast - Actual,Approval & Project milestones,D28,
Project MM20 Type,Approval & Project milestones,E28,Milestone Types,
Project MM20 Notes,Approval & Project milestones,F28,
Project MM21,Approval & Project milestones,A29,
Project MM21 Original Baseline,Approval & Project milestones,B29,
Project MM21 Latest Approved Baseline,Approval & Project milestones,C29,
Project MM21 Forecast - Actual,Approval & Project milestones,D29,
Project MM21 Type,Approval & Project milestones,E29,
Project MM21 Notes,Approval & Project milestones,F29,
